chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
Pd-Ta-S,Pd,Ta,S,Ta20Pd9S50_1217846_POSCAR,35,local_max_drop,14.7633281567,-0.50940864615345,-0.3759295025191818,-0.1334791436342682,12.727007,24.944934,0.03166848,mp-1217846,Ta20Pd9S50,Monoclinic,C2/m,12,0.0,-1.208802236223626,True,0.0,True,6.673649260592644,79,1537.7060491933437,19.46463353409296,755.2883896119965,0.4911786553796864,49.11786553796865,Pd-Ta
Pd-Ti-O,Pd,Ti,O,Ti3PdO_760414_POSCAR,35,local_max_drop,7.947205009,-0.32155569803429,-0.1038637858692424,-0.2176919121650476,7.095719,13.907609,0.01439507,mp-760414,Ti3PdO,Tetragonal,I4/mcm,140,0.0,-1.454954431000001,True,0.0,True,6.433494068897923,10,137.32421651927154,13.732421651927154,127.85121805223734,0.9310172764342348,93.10172764342347,Pd-Ti
Pd-Y-O,Pd,Y,O,Y_PdO2_2_15053_POSCAR,35,local_max_drop,6.6867492426,-0.16281212758491,-0.1010058143613834,-0.0618063132235266,6.429567,12.60195,0.01554006,mp-15053,Y(PdO2)2,Tetragonal,I4_1/a,88,0.0,-1.9768296099999991,True,0.0,True,7.352770236704027,14,165.1979506486628,11.799853617761627,112.09388570293476,0.6785428345980641,67.85428345980641,Pd-Y
Pd-Zn-O,Pd,Zn,O,Zn2PdO4_22257_POSCAR,35,global_gradient_fallback,6.6523211817,-0.1168255873974,-0.1153718050608127,-0.0014537823365872,5.321857,13.03855,0.01718268,mp-22257,Zn2PdO4,Cubic,Fd-3m,227,0.277991427142858,-1.057176666428571,False,0.0,True,6.096810445379641,14,164.0902194880345,11.720729963431037,62.55789781482239,0.3812408686514318,38.124086865143184,Pd-Zn
Pd-Zr-O,Pd,Zr,O,Zr4Pd2O_22479_POSCAR,35,local_max_drop,10.7236102353,-0.92697101766846,-0.311746522439837,-0.615224495228623,9.191666,18.766318,0.03330229,mp-22479,Zr4Pd2O,Cubic,Fd-3m,227,0.0,-1.253313301785715,True,0.0,True,8.06030520567639,28,489.2722060045035,17.474007357303698,454.0017582632,0.927912423169652,92.7912423169652,Pd-Zr
Re-Sc-O,Re,Sc,O,Sc6ReO12_987399_POSCAR,35,global_gradient_fallback,7.5517568,-0.081078800948807,-0.0567975164335007,-0.0242812845153062,6.203229,13.215574,0.00828299,mp-987399,Sc6ReO12,Triclinic,P-1,2,1.030354375592104,-2.552221710131579,False,0.056499999999999,False,3.957857713250384,19,271.84449497317377,14.307604998588094,152.35008222563582,0.5604310002329459,56.04310002329459,Re-Sc
Re-Y-O,Re,Y,O,Y5_ReO6_2_675733_POSCAR,35,local_max_drop,9.4818489563,-0.14709458637661,-0.0630110984780262,-0.0840834878985837,8.174008,16.021055,0.00763276,mp-675733,Y5(ReO6)2,Monoclinic,C2/m,12,0.0,-3.317054344999999,True,0.0,True,6.712916999537576,19,249.575218537238,13.135537817749366,186.94928406645136,0.7490699002976432,74.90699002976432,Re-Y
Re-Zr-O,Re,Zr,O,Zr9Re4O3_1207437_POSCAR,35,local_max_drop,12.3419067825,-0.68711996938784,-0.2199253971462915,-0.4671945722415485,10.639575,20.853567,0.01944855,mp-1207437,Zr9Re4O3,Hexagonal,P6_3/mmc,194,0.0,-1.298734767500001,True,0.0,True,9.927849401503126,32,539.8647604359022,16.870773763621944,526.6873130351552,0.9755912066012472,97.55912066012472,Re-Zr
Rh-Sc-O,Rh,Sc,O,ScRhO3_1188449_POSCAR,35,local_max_drop,7.1719592,-0.22146456236507,-0.1167991401943853,-0.1046654221706847,6.659676,12.550929,0.019113,mp-1188449,ScRhO3,Orthorhombic,Pnma,62,0.051140098124998,-2.481755849999999,False,1.049699999999999,False,6.049931768142321,20,215.03220185571337,10.751610092785668,144.7440811605749,0.6731274660792349,67.31274660792349,Rh-Sc
Rh-Y-O,Rh,Y,O,YRhO3_1207629_POSCAR,35,local_max_drop,7.5788272155,-0.23303849512392,-0.1063650775878936,-0.1266734175360264,6.272133,12.805605,0.01743082,mp-1207629,YRhO3,Orthorhombic,Pnma,62,0.0,-2.547069844999999,True,9.999999999976698e-05,False,6.981031070639306,20,228.16866006717177,11.408433003358589,177.34962411463215,0.777274249944849,77.72742499448489,Rh-Y
Ru-Y-O,Ru,Y,O,Y2Ru2O7_20643_POSCAR,35,local_max_drop,8.7978768922,-0.18183185298611,-0.1016337362914522,-0.0801981166946577,7.855247,15.396285,0.0134981,mp-20643,Y2Ru2O7,Cubic,Fd-3m,227,0.030400234886359,-2.561902583636363,False,0.0,True,6.047212212318132,22,270.173433453385,12.2806106115175,183.9276332315854,0.6807761624842354,68.07761624842354,Ru-Y
