chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Mn-O,Mn21O40_766493_POSCAR,35,local_max_drop,13.5265726197,-0.352083843629,-0.1500781561076194,-0.2020056875213805,10.520668,24.548224,0.01009897,mp-766493,Mn21O40,Tetragonal,I-4,82,0.067233391386613,-1.786670257156586,False,0.0,True,4.151273859551081,61,717.4827352209874,11.76201205280307,284.4098029293629,0.3963995075669154,39.63995075669154
Mn-O,Mn21O40_849596_POSCAR,35,local_max_drop,7.8889881274,-0.3476639787411,-0.1719983417916193,-0.1756656369494806,7.304619,14.317053,0.020757,mp-849596,Mn21O40,Monoclinic,C2,5,0.057628469911204,-1.796275178631996,False,0.129599999999999,False,4.135748875875307,61,720.1760564919923,11.806164860524465,284.4098029293629,0.3949170489154207,39.49170489154207
Mn-O,Mn2O3_1043363_POSCAR,35,local_max_drop,6.943213927,-0.16858216309324,-0.0768993515162627,-0.0916828115769773,6.409121,13.085288,0.01056487,mp-1043363,Mn2O3,Orthorhombic,Cmcm,63,0.227346481874999,-1.7865733616724122,False,0.0,True,4.382243548995705,20,239.28969119930142,11.96448455996507,104.44708163248904,0.43648801212040667,43.64880121204067
Mn-O,Mn2O3_1172875_POSCAR,35,local_max_drop,12.4543497,-0.71924377535252,-0.3383200438184539,-0.3809237315340661,11.496323,23.471659,0.02631948,mp-1172875,Mn2O3,Orthorhombic,Pbca,61,0.0,-2.013919843547413,True,0.0721,False,4.717691499808666,80,889.1007007723838,11.113758759654797,417.78832652995555,0.4698998956665004,46.989989566650046
Mn-O,Mn2O3_1203190_POSCAR,35,local_max_drop,12.348482681,-0.72435308484506,-0.3105641657607564,-0.4137889190843035,8.689673,22.410209,0.02594257,mp-1203190,Mn2O3,Trigonal,R-3,148,0.076406079249998,-1.937513764297413,False,0.2188,False,5.003428008135471,80,838.3258064022893,10.479072580028618,417.78832652995555,0.49836033119738,49.836033119738
Mn-O,Mn2O3_1204718_POSCAR,35,local_max_drop,14.2502523635,-0.72567992911292,-0.3093484706471836,-0.4163314584657364,10.027955,25.861569,0.02241421,mp-1204718,Mn2O3,Triclinic,P-1,2,0.076886719624999,-1.937033123922412,False,0.127999999999999,False,4.98265037522671,80,841.8216215010336,10.52277026876292,417.78832652995555,0.4962908006389838,49.62908006389838
Mn-O,Mn2O3_1303934_POSCAR,35,global_gradient_fallback,6.7503784917,-0.080975505787512,-0.0443190162533757,-0.0366564895341362,5.971489,12.721867,0.00633875,mp-1303934,Mn2O3,Monoclinic,C2/c,15,0.058604068375,-1.955315775172412,False,0.0,True,4.8385951634476445,10,108.36055384663364,10.836055384663364,52.22354081624447,0.4819423578266148,48.19423578266148
Mn-O,Mn2O3_1306224_POSCAR,35,global_gradient_fallback,6.5431306811,-0.07982257696481,-0.0444053694790644,-0.0354172074857455,5.788154,12.331285,0.00656211,mp-1306224,Mn2O3,Monoclinic,C2/c,15,0.050317489374999,-1.963602354172412,False,0.3511,False,4.82254907658826,10,108.72110247503153,10.872110247503153,52.22354081624447,0.4803441064096819,48.03441064096819
Mn-O,Mn2O3_1349371_POSCAR,35,local_max_drop,15.221878408,-0.36808414844575,-0.2612717492177679,-0.106812399227982,13.647201,25.719726,0.01777102,mp-1349371,Mn2O3,Triclinic,P-1,2,2.870379208249998,0.8564593647025851,False,0.0,True,4.982650479128582,80,841.8216038593839,10.522770048242299,417.78832652995555,0.49629081103951095,49.629081103951094
Mn-O,Mn2O3_510604_POSCAR,35,local_max_drop,12.7154629305,-0.71329783941133,-0.3250080529154257,-0.3882897864959042,11.773577,23.076211,0.02616084,mp-510604,Mn2O3,Cubic,Ia-3,206,0.006783344624999,-2.007136498922413,False,0.0,True,5.018577144710987,80,835.795225929392,10.4474403241174,417.78832652995555,0.49986924257120646,49.98692425712065
Mn-O,Mn2O3_565203_POSCAR,35,local_max_drop,12.4786779,-0.72994475268894,-0.2846821155753297,-0.4452626371136103,9.598983,23.517508,0.02142885,mp-565203,Mn2O3,Orthorhombic,Pbca,61,0.0001606345,-2.013759209047413,False,0.0,True,4.7211794529325015,80,888.4438433922353,11.10554804240294,417.78832652995555,0.47024730897426903,47.024730897426906
Mn-O,Mn2O3_770543_POSCAR,35,global_gradient_fallback,5.9361852157,-0.091772513552642,-0.045767725365783,-0.0460047881868589,5.251241,11.187426,0.00751577,mp-770543,Mn2O3,Trigonal,R-3c,167,0.064272060375,-1.949647783172413,False,0.0,True,4.869381483504672,10,107.675452243346,10.7675452243346,52.22354081624447,0.48500879010212583,48.500879010212586
