chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ti-O,Ti6O_882_POSCAR,mp-882,Ti6O,Trigonal,P-31m,162,0.011734072857143,-0.9049613478571412,False,0.0,True,4.716091494120648,14,213.51484408901936,15.251060292072811,208.29593700309127,0.9755571697687108,97.55571697687108
Ti-O,Ti6O11_30524_POSCAR,mp-30524,Ti6O11,Triclinic,P-1,2,0.013827577794117,-3.434970597058823,False,0.0,True,4.280497253732013,34,359.3760310962347,10.569883267536316,232.38114557739644,0.6466239411363769,64.66239411363769
Ti-O,Ti6O11_559964_POSCAR,mp-559964,Ti6O11,Monoclinic,C2/m,12,0.010498075441178,-3.438300099411763,False,0.0,True,3.975412048314062,34,386.95564034558976,11.381048245458523,232.38114557739644,0.6005369126286854,60.05369126286853
Ti-O,Ti7O13_556724_POSCAR,mp-556724,Ti7O13,Triclinic,P-1,2,0.016614970249998,-3.441071796166667,False,0.0,True,4.268804508092429,40,422.4950268747917,10.562375671869791,271.51275664986764,0.6426413078948068,64.26413078948067
Ti-O,Ti7O8_779692_POSCAR,mp-779692,Ti7O8,Monoclinic,Cm,8,0.115783338666666,-2.924000725555555,False,0.0,True,4.644334253226848,15,165.56435262865423,11.03762350857695,129.73507618135756,0.7835930508081139,78.3593050808114
Ti-O,Ti8O13_752989_POSCAR,mp-752989,Ti8O13,Trigonal,R-3,148,0.009953984761905,-3.353443061984128,False,0.111399999999999,False,4.05272694356993,21,242.12323595981178,11.52967790284818,152.91366300373883,0.6315530287606095,63.15530287606095
Ti-O,Ti8O15_565700_POSCAR,mp-565700,Ti8O15,Triclinic,P-1,2,0.018989677065215,-3.445266917898551,False,0.0,True,4.260392017286201,46,485.58659106092176,10.556230240454822,310.64436772233876,0.6397301190785255,63.97301190785255
Ti-O,Ti9O10_1217149_POSCAR,mp-1217149,Ti9O10,Monoclinic,C2/m,12,0.244662513157893,-2.7673683331578958,False,0.0,True,4.48376594575372,19,218.7985528454293,11.515713307654174,166.45816639639813,0.7607827576171989,76.0782757617199
Ti-O,Ti9O10_32813_POSCAR,mp-32813,Ti9O10,Triclinic,P-1,2,0.196354488947367,-2.815676357368421,False,0.0,True,4.805299460465542,19,204.15824395204635,10.74517073431823,166.45816639639813,0.8153389408830173,81.53389408830172
Ti-O,Ti9O13_1045643_POSCAR,mp-1045643,Ti9O13,Monoclinic,C2/m,12,0.140704077272729,-3.126782524772727,False,0.0,True,4.217889352569987,22,251.48701100905686,11.431227773138948,170.0709476825439,0.6762613583904701,67.62613583904701
Ti-O,Ti9O17_27273_POSCAR,mp-27273,Ti9O17,Triclinic,P-1,2,0.020783203846152,-3.448527105384616,False,0.0,True,4.257294795589221,52,548.2424659735696,10.543124345645568,349.77597879480993,0.6379950487302682,63.79950487302683
Ti-O,Ti9O8_32544_POSCAR,mp-32544,Ti9O8,Triclinic,P-1,2,0.162450305588235,-2.591554100882353,False,0.0,True,5.315399503894045,34,349.138852583329,10.268789781862619,328.0992910779353,0.9397386989453652,93.97386989453652
Ti-O,TiO_1071163_POSCAR,mp-1071163,TiO,Hexagonal,P-62m,189,0.0,-2.907956279166666,True,0.0,True,5.136733950019456,6,61.93779156394612,10.322965260657687,55.08463532256098,0.8893542041402982,88.93542041402982
Ti-O,TiO_1203_POSCAR,mp-1203,TiO,Monoclinic,C2/m,12,0.052573148,-2.855383131166665,False,0.0,True,4.934842399291236,10,107.45292710257004,10.745292710257004,91.80772553760166,0.8543994846223767,85.43994846223767
Ti-O,TiO_1244926_POSCAR,mp-1244926,TiO,Triclinic,P1,1,0.325092709399999,-2.5828635697666678,False,0.006899999999999,False,4.433549138365065,100,1196.024325041512,11.96024325041512,918.077255376018,0.7676075111132485,76.76075111132485
Ti-O,TiO_1244944_POSCAR,mp-1244944,TiO,Triclinic,P1,1,0.301948754899999,-2.606007524266667,False,0.0,True,4.454019641484404,100,1190.5274426493918,11.905274426493918,918.077255376018,0.7711516950276551,77.11516950276551
Ti-O,TiO_1245141_POSCAR,mp-1245141,TiO,Triclinic,P1,1,0.311705076599999,-2.596251202566668,False,0.0163,False,4.399293330819819,100,1205.3373605052047,12.053373605052048,918.077255376018,0.7616765940045328,76.16765940045327
Ti-O,TiO_1245294_POSCAR,mp-1245294,TiO,Triclinic,P1,1,0.315432533299999,-2.592523745866667,False,0.0,True,4.4920109044322345,100,1180.458534743053,11.80458534743053,918.077255376018,0.7777293554625816,77.77293554625815
Ti-O,TiO_1245324_POSCAR,mp-1245324,TiO,Triclinic,P1,1,0.335287655199998,-2.572668623966668,False,0.0007,False,4.347487057898251,100,1219.7006098580598,12.197006098580598,918.077255376018,0.7527070561052334,75.27070561052334
Ti-O,TiO_2664_POSCAR,mp-2664,TiO,Cubic,Fm-3m,225,0.272444019999998,-2.635512259166669,False,0.0,True,5.375278809240463,2,19.729702511300157,9.864851255650079,18.361545107520328,0.9306549400328658,93.06549400328657
Ti-O,TiO_673667_POSCAR,mp-673667,TiO,Triclinic,P-1,2,0.196094875714285,-2.711861403452382,False,0.0,True,4.941999386573826,42,450.6487196913136,10.729731421221752,385.5924472579268,0.8556386169743271,85.56386169743271
Ti-O,TiO_685151_POSCAR,mp-685151,TiO,Tetragonal,I4/mmm,139,0.182072509999999,-2.725883769166666,False,0.0,True,4.56078467913637,12,139.5189552771957,11.626579606432975,110.16927064512198,0.78963657967649,78.963657967649
Ti-O,TiO_754333_POSCAR,mp-754333,TiO,Hexagonal,P6_3/mmc,194,0.132330544999998,-2.775625734166668,False,0.0,True,5.409794701447449,4,39.20764404988653,9.801911012471633,36.72309021504065,0.9366308816799954,93.66308816799955
Ti-O,TiO_755300_POSCAR,mp-755300,TiO,Cubic,Pm-3m,221,0.112576613333333,-2.795379665833334,False,0.0,True,4.661596912023335,6,68.2508510996959,11.375141849949316,55.08463532256098,0.8070908191620546,80.70908191620546
Ti-O,TiO2_1008677_POSCAR,mp-1008677,TiO2,Cubic,Fm-3m,225,0.308324844166666,-3.199730607777778,False,1.056499999999999,False,4.678793200786704,3,28.34497597657238,9.448325325524126,19.565805536235597,0.6902741971772027,69.02741971772028
Ti-O,TiO2_1041565_POSCAR,mp-1041565,TiO2,Orthorhombic,Imma,74,0.043648089999999,-3.464407361944444,False,1.82,False,4.127531458338895,12,128.52261165650475,10.710217638042062,78.26322214494242,0.608945158647353,60.8945158647353
Ti-O,TiO2_1044853_POSCAR,mp-1044853,TiO2,Trigonal,P3m1,156,0.177784685277778,-3.330270766666665,False,1.7851,False,3.459893086806675,36,459.96894464924117,12.776915129145587,234.78966643482696,0.510446779431752,51.0446779431752
Ti-O,TiO2_1079207_POSCAR,mp-1079207,TiO2,Hexagonal,P-62m,189,0.332816929722222,-3.175238522222222,False,0.8879999999999991,False,5.161167512722676,9,77.0873725316958,8.565263614632867,58.697416608706774,0.7614400994737798,76.14400994737798
Ti-O,TiO2_1101022_POSCAR,mp-1101022,TiO2,Tetragonal,I4/m,87,0.0473879225,-3.460667529444444,False,1.9968,False,3.711764470869865,12,142.918853748559,11.909904479046583,78.26322214494242,0.5476060022327986,54.760600223279866
Ti-O,TiO2_1102255_POSCAR,mp-1102255,TiO2,Orthorhombic,Pnma,62,0.2975914725,-3.210463979444444,False,1.7550999999999992,False,5.06992852094833,12,104.63286055201081,8.719405046000901,78.26322214494242,0.747979379824366,74.79793798243661
Ti-O,TiO2_1102591_POSCAR,mp-1102591,TiO2,Cubic,Pa-3,205,0.256583777499999,-3.251471674444444,False,1.149599999999999,False,4.503680324526368,12,117.78836101046703,9.815696750872252,78.26322214494242,0.6644393509982511,66.44393509982511
Ti-O,TiO2_1190753_POSCAR,mp-1190753,TiO2,Orthorhombic,Pbca,61,0.123919274583332,-3.3841361773611123,False,2.0744,False,4.643207506446049,24,228.49770259226855,9.52073760801119,156.5264442898846,0.685024149101361,68.5024149101361
Ti-O,TiO2_1201727_POSCAR,mp-1201727,TiO2,Orthorhombic,Pnma,62,0.066588627708334,-3.44146682423611,False,2.4439,False,3.821223363943821,48,555.2997806373174,11.568745429944114,313.0528885797693,0.5637547492283871,56.375474922838706
Ti-O,TiO2_1245098_POSCAR,mp-1245098,TiO2,Triclinic,P1,1,0.16661254061111,-3.341442911333334,False,2.6007,False,3.363887407573496,90,1182.7412601085477,13.141569556761642,586.9741660870709,0.49628281846969685,49.628281846969685
Ti-O,TiO2_1245134_POSCAR,mp-1245134,TiO2,Triclinic,P1,1,0.179434900277776,-3.328620551666667,False,2.4383,False,3.507542945745311,90,1134.3007024886022,12.603341138762246,586.9741660870709,0.5174766839157177,51.747668391571764
